# STEVAL-MKI168V1 (IIS2DH) 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],acc_x[LSB],acc_y[LSB],acc_z[LSB],int_1,int_2
38100177,-11.000,32.000,1087.000,-11,32,1087,0,0
38100738,-7.000,31.000,1096.000,-7,31,1096,0,0
38101491,-15.000,19.000,1102.000,-15,19,1102,0,0
38102242,-12.000,33.000,1087.000,-12,33,1087,0,0
38103002,-9.000,27.000,1114.000,-9,27,1114,0,0
38103753,-14.000,25.000,1098.000,-14,25,1098,0,0
38104505,-7.000,35.000,1085.000,-7,35,1085,0,0
38105257,-9.000,19.000,1103.000,-9,19,1103,0,0
38106007,-7.000,32.000,1089.000,-7,32,1089,0,0
38106757,-3.000,28.000,1101.000,-3,28,1101,0,0
38107516,-12.000,19.000,1100.000,-12,19,1100,0,0
38108268,-9.000,35.000,1080.000,-9,35,1080,0,0
38109021,-11.000,24.000,1100.000,-11,24,1100,0,0
38109773,-12.000,24.000,1093.000,-12,24,1093,0,0
38110524,-8.000,32.000,1081.000,-8,32,1081,0,0
38111276,-8.000,16.000,1099.000,-8,16,1099,0,0
38112029,-11.000,28.000,1086.000,-11,28,1086,0,0
38112781,-7.000,24.000,1101.000,-7,24,1101,0,0
38113532,-9.000,13.000,1104.000,-9,13,1104,0,0
38114284,-4.000,33.000,1091.000,-4,33,1091,0,0
38115036,-3.000,23.000,1110.000,-3,23,1110,0,0
38115795,-7.000,26.000,1098.000,-7,26,1098,0,0
38116547,-2.000,34.000,1096.000,-2,34,1096,0,0
38117299,-9.000,18.000,1112.000,-9,18,1112,0,0
38118051,-7.000,30.000,1091.000,-7,30,1091,0,0
38118801,-2.000,29.000,1097.000,-2,29,1097,0,0
38119553,-10.000,18.000,1105.000,-10,18,1105,0,0
38120305,-6.000,33.000,1091.000,-6,33,1091,0,0
38121057,-5.000,21.000,1100.000,-5,21,1100,0,0
38121809,-14.000,22.000,1091.000,-14,22,1091,0,0
38122569,-7.000,29.000,1093.000,-7,29,1093,0,0
38123321,-13.000,18.000,1104.000,-13,18,1104,0,0
38124073,-12.000,34.000,1081.000,-12,34,1081,0,0
38124825,-8.000,32.000,1100.000,-8,32,1100,0,0
38125577,-14.000,27.000,1107.000,-14,27,1107,0,0
38126328,-10.000,38.000,1085.000,-10,38,1085,0,0
