# STEVAL-MKI208V1K (IIS3DWB) 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],acc_x[LSB],acc_y[LSB],acc_z[LSB],int_1
7150443,18.849,-78.080,974.658,309,-1280,15978,0
7150481,21.594,-99.308,959.774,354,-1628,15734,0
7150518,45.506,-124.562,970.510,746,-2042,15910,0
7150555,11.956,-143.106,953.674,196,-2346,15634,0
7150594,64.294,-131.394,959.774,1054,-2154,15734,0
7150630,54.656,-167.506,944.768,896,-2746,15488,0
7150667,45.506,-158.478,949.465,746,-2598,15565,0
7150703,66.612,-180.133,958.310,1092,-2953,15710,0
7150741,88.206,-157.990,954.162,1446,-2590,15642,0
7150778,94.672,-177.937,960.689,1552,-2917,15749,0
7150815,112.118,-154.391,956.907,1838,-2531,15687,0
7150852,84.546,-185.562,976.976,1386,-3042,16016,0
7150890,110.715,-174.704,998.082,1815,-2864,16362,0
7150927,97.417,-222.650,1017.663,1597,-3650,16683,0
7150964,82.716,-196.420,1015.772,1356,-3220,16652,0
7151003,63.806,-207.278,1023.275,1046,-3398,16775,0
7151040,60.207,-189.222,1031.205,987,-3102,16905,0
7151076,33.977,-178.791,1084.885,557,-2931,17785,0
7151113,17.934,-204.106,1082.567,294,-3346,17747,0
7151150,39.040,-183.305,1084.946,640,-3005,17786,0
7151187,10.980,-194.590,1113.372,180,-3190,18252,0
7151224,31.720,-175.192,1109.712,520,-2872,18192,0
7151262,15.616,-139.019,1123.681,256,-2279,18421,0
7151298,32.208,-119.621,1143.750,528,-1961,18750,0
7151336,11.041,-102.907,1161.989,181,-1687,19049,0
7151373,20.252,-66.734,1156.377,332,-1094,18957,0
7151412,19.764,-29.707,1156.804,324,-487,18964,0
7151447,-20.679,-17.080,1145.153,-339,-280,18773,0
7151484,-3.660,48.922,1156.377,-60,802,18957,0
7151522,-18.361,58.438,1136.796,-301,958,18636,0
7151558,-18.361,73.322,1149.850,-301,1202,18850,0
7151596,-14.274,97.234,1172.237,-234,1594,19217,0
7151634,-45.018,125.660,1152.168,-738,2060,18888,0
7151671,-34.465,168.604,1159.183,-565,2764,19003,0
7151707,-62.037,137.006,1173.640,-1017,2246,19240,0
7151746,-66.124,171.288,1140.029,-1084,2808,18689,0
7151783,-56.059,174.460,1131.611,-919,2860,18551,0
7151819,-82.716,170.922,1145.641,-1356,2802,18781,0
7151855,-54.656,188.978,1116.666,-896,3098,18306,0
7151893,-65.697,201.605,1112.030,-1077,3305,18230,0
7151931,-63.867,199.836,1118.496,-1047,3276,18336,0
7151968,-31.232,202.520,1068.110,-512,3320,17510,0
7152006,-13.786,173.606,1111.542,-226,2846,18222,0
7152044,-11.468,165.920,1070.428,-188,2720,17548,0
7152084,40.382,166.347,1035.414,662,2727,16974,0
7152117,12.871,145.119,1051.274,211,2379,17234,0
7152153,25.254,152.805,1043.832,414,2505,17112,0
7152195,49.593,149.206,996.618,813,2446,16338,0
7152232,18.849,90.463,1005.524,309,1483,16484,0
7152266,29.829,96.380,995.703,489,1580,16323,0
7152303,16.958,38.064,978.440,278,624,16040,0
7152343,18.422,25.376,973.316,302,416,15956,0
7152377,-2.745,-23.363,996.191,-45,-383,16331,0
7152414,38.613,-15.250,963.922,633,-250,15802,0
7152453,34.465,-70.821,979.355,565,-1161,16055,0
7152491,18.422,-94.306,951.356,302,-1546,15596,0
7152525,33.977,-114.680,974.658,557,-1880,15978,0
7152563,33.977,-129.076,971.852,557,-2116,15932,0
7152601,38.552,-140.422,966.728,632,-2302,15848,0
7152637,60.146,-159.820,958.798,986,-2620,15718,0
7152674,65.697,-150.304,950.868,1077,-2464,15588,0
7152711,53.741,-159.820,965.813,881,-2620,15833,0
7152748,61.549,-179.706,964.410,1009,-2946,15810,0
7152787,81.801,-173.362,942.938,1341,-2842,15458,0
7152823,80.825,-177.449,971.425,1325,-2909,15925,0
7152860,101.504,-181.048,959.286,1664,-2968,15726,0
7152897,76.250,-202.276,985.455,1250,-3316,16155,0
7152934,95.099,-193.248,990.091,1559,-3168,16231,0
7152973,69.418,-186.050,989.176,1138,-3050,16216,0
7153009,63.806,-210.877,1033.584,1046,-3457,16944,0
7153046,55.571,-188.246,1037.244,911,-3086,17004,0
7153083,14.274,-199.104,1077.443,234,-3264,17663,0
7153120,31.720,-192.760,1072.746,520,-3160,17586,0
7153158,22.997,-198.677,1067.195,377,-3257,17495,0
7153195,16.531,-201.849,1092.876,271,-3309,17916,0
7153231,10.614,-178.364,1116.666,174,-2924,18306,0
7153269,23.424,-142.252,1113.860,384,-2332,18260,0
7153308,13.298,-126.392,1129.720,218,-2072,18520,0
7153347,5.002,-108.336,1148.874,82,-1776,18834,0
7153381,3.233,-61.793,1134.905,53,-1013,18605,0
7153418,10.553,-39.223,1134.905,173,-643,18605,0
7153457,-18.849,-5.734,1142.347,-309,-94,18727,0
7153496,-8.296,31.720,1133.502,-136,520,18582,0
7153529,-5.490,73.322,1135.332,-90,1202,18612,0
7153566,-21.594,71.065,1128.378,-354,1165,18498,0
7153603,-41.846,116.266,1139.541,-686,1906,18681,0
7153640,-42.212,113.460,1149.850,-692,1860,18850,0
7153678,-63.379,134.261,1144.238,-1039,2201,18758,0
7153715,-50.996,155.977,1140.029,-836,2557,18689,0
7153754,-61.976,155.062,1114.348,-1016,2542,18268,0
7153792,-70.272,165.432,1139.541,-1152,2712,18681,0
7153826,-50.996,200.202,1113.311,-836,3282,18251,0
7153866,-90.951,169.519,1118.008,-1491,2779,18328,0
7153901,-65.270,208.376,1087.569,-1070,3416,17829,0
7153937,-52.338,205.692,1099.281,-858,3372,18021,0
7153975,-50.081,188.978,1087.142,-821,3098,17822,0
7154012,-15.128,182.146,1069.391,-248,2986,17531,0
7154049,21.106,166.408,1049.749,346,2728,17209,0
7154090,31.720,162.748,1029.680,520,2668,16880,0
7154124,30.744,142.435,1010.038,504,2335,16558,0
7154161,30.744,135.176,1011.441,504,2216,16581,0
7154198,22.936,130.235,1016.138,376,2135,16658,0
7154235,16.043,114.436,967.094,263,1876,15854,0
7154272,22.082,66.063,1004.914,362,1083,16474,0
7154310,24.400,40.321,961.970,400,661,15770,0
7154348,15.616,11.407,961.055,256,187,15755,0
7154388,17.934,-1.220,936.716,294,-20,15356,0
7154422,10.553,-54.534,959.652,173,-894,15732,0
7154458,41.785,-72.651,934.398,685,-1191,15318,0
7154499,15.616,-139.080,952.149,256,-2280,15609,0
7154535,38.613,-100.162,930.677,633,-1642,15257,0
7154570,26.169,-146.705,928.359,429,-2405,15219,0
7154609,45.506,-153.049,932.995,746,-2509,15295,0
7154647,57.889,-150.792,918.538,949,-2472,15058,0
7154682,71.248,-176.534,926.956,1168,-2894,15196,0
7154718,66.612,-165.249,928.359,1092,-2709,15219,0
7154757,68.930,-165.249,932.995,1130,-2709,15295,0
7154793,85.461,-162.504,932.568,1401,-2664,15288,0
7154830,90.524,-192.394,962.458,1484,-3154,15778,0
7154867,125.416,-176.107,954.955,2056,-2887,15655,0
7154904,89.182,-195.993,975.512,1462,-3213,15992,0
7154942,95.526,-205.448,959.652,1566,-3368,15732,0
7154979,71.614,-219.478,1013.820,1174,-3598,16620,0
7155015,76.738,-193.248,1015.650,1258,-3168,16650,0
7155054,30.744,-212.219,1046.516,504,-3479,17156,0
7155092,18.361,-191.906,1049.322,301,-3146,17202,0
7155128,27.572,-209.047,1059.570,452,-3427,17370,0
