=== Résumé acquisition ===
Fréquence théorique (Hz),1344.00
Écart moyen (µs),750.47
Écart min (µs),746
Écart max (µs),757
Fréquence moyenne (Hz),1332.50
Fréquence min (Hz),1321.00
Fréquence max (Hz),1340.48

t(us),X(mg),Y(mg),Z(mg)
3702,-30.38,16.66,-866.32
4453,-30.38,16.66,-869.26
5201,-25.48,15.68,-863.38
5951,-29.40,16.66,-861.42
6702,-30.38,18.62,-866.32
7453,-26.46,18.62,-865.34
8203,-27.44,17.64,-865.34
8954,-24.50,17.64,-865.34
9705,-25.48,19.60,-861.42
10456,-27.44,19.60,-859.46
11207,-28.42,16.66,-866.32
11957,-26.46,19.60,-870.24
12708,-27.44,17.64,-871.22
13458,-25.48,15.68,-870.24
14208,-26.46,15.68,-869.26
14959,-29.40,19.60,-868.28
15709,-30.38,18.62,-864.36
16460,-27.44,16.66,-868.28
17210,-29.40,21.56,-870.24
17961,-29.40,19.60,-864.36
18711,-30.38,17.64,-865.34
19461,-29.40,14.70,-860.44
20212,-28.42,17.64,-868.28
20962,-32.34,13.72,-869.26
21713,-30.38,16.66,-865.34
22464,-30.38,16.66,-868.28
23214,-35.28,17.64,-865.34
23964,-35.28,15.68,-869.26
24714,-33.32,14.70,-870.24
25465,-30.38,16.66,-870.24
26215,-32.34,15.68,-868.28
26966,-32.34,12.74,-867.30
27716,-28.42,14.70,-872.20
28467,-26.46,16.66,-866.32
29217,-29.40,16.66,-870.24
29967,-29.40,16.66,-872.20
30718,-29.40,16.66,-874.16
31468,-30.38,18.62,-874.16
32219,-33.32,24.50,-877.10
32970,-29.40,20.58,-868.28
33720,-27.44,16.66,-867.30
34471,-29.40,16.66,-866.32
35221,-32.34,17.64,-868.28
35972,-30.38,16.66,-868.28
36722,-35.28,17.64,-863.38
37472,-29.40,16.66,-865.34
38223,-28.42,16.66,-868.28
38973,-28.42,16.66,-866.32
39724,-26.46,16.66,-866.32
40474,-22.54,16.66,-865.34
41224,-27.44,16.66,-863.38
41975,-32.34,16.66,-862.40
42725,-28.42,15.68,-862.40
43476,-29.40,16.66,-861.42
44226,-32.34,18.62,-861.42
44976,-32.34,14.70,-861.42
45726,-32.34,15.68,-858.48
46476,-32.34,13.72,-870.24
47226,-32.34,13.72,-867.30
47977,-29.40,13.72,-862.40
48727,-23.52,17.64,-858.48
49477,-23.52,17.64,-867.30
50227,-25.48,20.58,-867.30
50982,-26.46,20.58,-868.28
51728,-25.48,18.62,-868.28
52478,-27.44,14.70,-865.34
53228,-28.42,16.66,-860.44
53982,-32.34,12.74,-858.48
54729,-27.44,15.68,-859.46
55480,-30.38,10.78,-868.28
56230,-29.40,10.78,-866.32
56983,-28.42,10.78,-868.28
57731,-29.40,10.78,-870.24
58482,-28.42,15.68,-875.14
59233,-31.36,14.70,-869.26
59983,-33.32,15.68,-872.20
60734,-30.38,15.68,-864.36
61484,-28.42,12.74,-864.36
62235,-29.40,17.64,-862.40
62986,-29.40,19.60,-870.24
63736,-32.34,16.66,-865.34
64487,-26.46,14.70,-867.30
65237,-29.40,14.70,-861.42
65988,-32.34,14.70,-863.38
66739,-29.40,16.66,-861.42
67489,-32.34,15.68,-865.34
68239,-27.44,18.62,-859.46
68990,-25.48,16.66,-862.40
69740,-25.48,19.60,-867.30
70491,-28.42,19.60,-860.44
71241,-30.38,15.68,-863.38
71992,-29.40,13.72,-862.40
72742,-32.34,12.74,-872.20
73492,-26.46,13.72,-874.16
74243,-27.44,18.62,-864.36
74994,-26.46,13.72,-861.42
75744,-27.44,13.72,-859.46
76494,-28.42,17.64,-866.32
77245,-32.34,18.62,-865.34
77995,-33.32,16.66,-859.46
78746,-29.40,17.64,-868.28
79496,-28.42,13.72,-872.20
80246,-30.38,11.76,-871.22
80997,-26.46,13.72,-874.16
81747,-30.38,14.70,-872.20
82497,-26.46,16.66,-872.20
83247,-22.54,16.66,-865.34
83997,-26.46,18.62,-867.30
84747,-28.42,19.60,-863.38
85498,-29.40,16.66,-864.36
86248,-29.40,14.70,-870.24
86998,-30.38,14.70,-875.14
87748,-26.46,14.70,-866.32
88498,-28.42,15.68,-864.36
89248,-30.38,17.64,-870.24
89998,-31.36,15.68,-864.36
90748,-31.36,17.64,-865.34
91499,-32.34,14.70,-868.28
92249,-29.40,15.68,-873.18
93000,-30.38,15.68,-867.30
93749,-29.40,16.66,-863.38
94499,-26.46,16.66,-864.36
95249,-31.36,18.62,-858.48
96000,-31.36,18.62,-865.34
96750,-35.28,15.68,-863.38
97500,-28.42,14.70,-869.26
98250,-29.40,17.64,-867.30
99001,-29.40,12.74,-865.34
99751,-25.48,13.72,-865.34
100501,-33.32,16.66,-866.32
101252,-31.36,18.62,-862.40
102003,-31.36,19.60,-867.30
102753,-33.32,17.64,-870.24
103503,-31.36,15.68,-874.16
104254,-34.30,16.66,-868.28
105005,-29.40,16.66,-866.32
105754,-33.32,17.64,-866.32
106505,-32.34,16.66,-867.30
107255,-25.48,19.60,-869.26
108005,-28.42,18.62,-861.42
108756,-26.46,15.68,-864.36
109507,-31.36,16.66,-859.46
110258,-26.46,20.58,-865.34
111009,-28.42,16.66,-863.38
111759,-30.38,17.64,-864.36
112510,-32.34,18.62,-864.36
113261,-27.44,18.62,-867.30
114012,-32.34,16.66,-867.30
114763,-32.34,17.64,-867.30
115513,-33.32,17.64,-864.36
116264,-35.28,14.70,-866.32
117014,-35.28,15.68,-864.36
117764,-33.32,14.70,-862.40
118515,-31.36,16.66,-868.28
119265,-33.32,17.64,-871.22
120016,-30.38,15.68,-863.38
120766,-32.34,16.66,-868.28
121516,-31.36,16.66,-861.42
122267,-32.34,13.72,-862.40
123017,-22.54,12.74,-862.40
123768,-24.50,11.76,-862.40
124518,-23.52,17.64,-863.38
125268,-23.52,16.66,-868.28
126019,-28.42,14.70,-870.24
126769,-35.28,16.66,-870.24
127519,-35.28,15.68,-875.14
128270,-34.30,15.68,-870.24
129020,-30.38,17.64,-873.18
129770,-31.36,17.64,-872.20
130521,-29.40,14.70,-870.24
