=== Résumé acquisition ===
Fréquence théorique (Hz),1344.00
Écart moyen (µs),750.19
Écart min (µs),745
Écart max (µs),755
Fréquence moyenne (Hz),1332.99
Fréquence min (Hz),1324.50
Fréquence max (Hz),1342.28

t(us),X(mg),Y(mg),Z(mg)
3341,-20.58,8.82,-867.30
4090,-20.58,3.92,-866.32
4840,-25.48,1.96,-868.28
5591,-25.48,2.94,-868.28
6341,-26.46,5.88,-873.18
7094,-20.58,3.92,-867.30
7843,-21.56,0.00,-863.38
8592,-22.54,5.88,-870.24
9343,-20.58,4.90,-869.26
10093,-21.56,4.90,-871.22
10843,-20.58,6.86,-869.26
11593,-20.58,6.86,-870.24
12343,-26.46,6.86,-868.28
13094,-27.44,6.86,-874.16
13844,-27.44,4.90,-882.00
14595,-27.44,6.86,-882.00
15345,-28.42,7.84,-876.12
16096,-25.48,5.88,-871.22
16846,-19.60,3.92,-873.18
17596,-21.56,1.96,-867.30
18346,-19.60,5.88,-868.28
19097,-17.64,5.88,-865.34
19847,-19.60,4.90,-867.30
20597,-21.56,7.84,-864.36
21347,-22.54,5.88,-874.16
22097,-23.52,6.86,-872.20
22847,-27.44,8.82,-867.30
23597,-25.48,4.90,-868.28
24348,-24.50,3.92,-867.30
25097,-25.48,4.90,-863.38
25848,-26.46,5.88,-875.14
26598,-26.46,2.94,-870.24
27348,-22.54,3.92,-864.36
28098,-27.44,4.90,-872.20
28848,-25.48,1.96,-869.26
29598,-26.46,0.98,-869.26
30349,-24.50,4.90,-869.26
31099,-24.50,2.94,-868.28
31849,-22.54,1.96,-866.32
32599,-26.46,0.98,-872.20
33349,-26.46,2.94,-870.24
34100,-24.50,5.88,-875.14
34850,-22.54,4.90,-864.36
35600,-22.54,1.96,-867.30
36350,-28.42,5.88,-864.36
37101,-27.44,2.94,-875.14
37851,-25.48,2.94,-874.16
38601,-22.54,5.88,-868.28
39351,-23.52,0.98,-873.18
40102,-25.48,3.92,-867.30
40852,-23.52,4.90,-875.14
41602,-23.52,3.92,-875.14
42352,-19.60,0.98,-876.12
43103,-22.54,0.98,-876.12
43853,-18.62,1.96,-879.06
44603,-24.50,1.96,-873.18
45353,-27.44,3.92,-867.30
46104,-27.44,3.92,-862.40
46854,-26.46,3.92,-865.34
47605,-25.48,3.92,-861.42
48354,-27.44,0.00,-861.42
49105,-23.52,4.90,-866.32
49855,-27.44,2.94,-870.24
50605,-29.40,5.88,-879.06
51355,-27.44,4.90,-874.16
52105,-23.52,0.98,-872.20
52855,-23.52,1.96,-874.16
53605,-22.54,-0.98,-873.18
54355,-19.60,3.92,-881.02
55105,-17.64,4.90,-879.06
55855,-26.46,7.84,-868.28
56605,-26.46,6.86,-870.24
57355,-27.44,7.84,-870.24
58105,-26.46,6.86,-870.24
58855,-23.52,3.92,-868.28
59605,-24.50,2.94,-876.12
60355,-23.52,2.94,-873.18
61105,-25.48,4.90,-864.36
61855,-21.56,4.90,-867.30
62605,-23.52,3.92,-864.36
63355,-26.46,7.84,-870.24
64105,-24.50,3.92,-872.20
64855,-22.54,1.96,-869.26
65605,-26.46,0.98,-865.34
66355,-26.46,-0.98,-868.28
67106,-24.50,3.92,-868.28
67856,-25.48,5.88,-872.20
68606,-21.56,6.86,-871.22
69356,-23.52,7.84,-867.30
70106,-23.52,2.94,-868.28
70856,-23.52,2.94,-872.20
71606,-24.50,3.92,-870.24
72356,-22.54,0.98,-871.22
73106,-25.48,4.90,-877.10
73857,-24.50,1.96,-871.22
74607,-30.38,4.90,-869.26
75357,-21.56,4.90,-868.28
76108,-22.54,4.90,-871.22
76858,-26.46,6.86,-865.34
77608,-24.50,4.90,-865.34
78358,-22.54,7.84,-867.30
79108,-19.60,7.84,-870.24
79859,-23.52,6.86,-873.18
80609,-25.48,4.90,-871.22
81359,-23.52,2.94,-868.28
82109,-24.50,7.84,-871.22
82860,-25.48,8.82,-869.26
83610,-26.46,6.86,-865.34
84360,-23.52,6.86,-866.32
85110,-24.50,5.88,-865.34
85861,-27.44,7.84,-867.30
86611,-23.52,2.94,-869.26
87361,-25.48,4.90,-869.26
88111,-26.46,6.86,-868.28
88861,-25.48,3.92,-864.36
89611,-28.42,1.96,-868.28
90361,-27.44,4.90,-868.28
91112,-28.42,3.92,-865.34
91862,-23.52,0.98,-873.18
92611,-20.58,6.86,-872.20
93363,-23.52,6.86,-867.30
94112,-22.54,7.84,-871.22
94862,-24.50,4.90,-873.18
95612,-24.50,7.84,-873.18
96363,-26.46,4.90,-873.18
97113,-25.48,6.86,-873.18
97864,-21.56,6.86,-866.32
98614,-24.50,3.92,-864.36
99364,-25.48,3.92,-866.32
100114,-25.48,2.94,-879.06
100865,-27.44,5.88,-873.18
101615,-25.48,6.86,-873.18
102366,-23.52,4.90,-870.24
103116,-21.56,6.86,-868.28
103866,-22.54,1.96,-867.30
104617,-25.48,3.92,-867.30
105367,-25.48,4.90,-872.20
106117,-22.54,6.86,-871.22
106868,-27.44,4.90,-868.28
107619,-28.42,1.96,-871.22
108369,-26.46,0.98,-873.18
109119,-24.50,0.98,-866.32
109870,-23.52,1.96,-870.24
110621,-22.54,1.96,-872.20
111372,-23.52,2.94,-878.08
112123,-22.54,4.90,-875.14
112873,-22.54,6.86,-873.18
113623,-21.56,4.90,-872.20
114373,-23.52,3.92,-874.16
115123,-25.48,1.96,-881.02
115873,-18.62,0.98,-876.12
116623,-25.48,2.94,-873.18
117373,-25.48,2.94,-867.30
118123,-24.50,4.90,-863.38
118873,-24.50,3.92,-859.46
119623,-24.50,5.88,-861.42
120373,-23.52,4.90,-865.34
121123,-21.56,5.88,-867.30
121874,-23.52,4.90,-867.30
122624,-22.54,5.88,-868.28
123374,-27.44,1.96,-874.16
124124,-24.50,2.94,-872.20
124874,-20.58,6.86,-872.20
125624,-28.42,6.86,-873.18
126375,-26.46,4.90,-872.20
127125,-27.44,4.90,-867.30
127875,-24.50,5.88,-873.18
128624,-22.54,4.90,-868.28
129374,-21.56,2.94,-872.20
130124,-26.46,0.98,-868.28
130874,-20.58,1.96,-871.22
131624,-23.52,3.92,-874.16
