=== Résumé acquisition ===
Fréquence théorique (Hz),1344.00
Écart moyen (µs),750.12
Écart min (µs),745
Écart max (µs),755
Fréquence moyenne (Hz),1333.13
Fréquence min (Hz),1324.50
Fréquence max (Hz),1342.28

t(us),X(mg),Y(mg),Z(mg)
3790,-27.44,19.60,-872.20
4537,-25.48,18.62,-864.36
5287,-27.44,20.58,-866.32
6038,-26.46,17.64,-866.32
6788,-30.38,18.62,-864.36
7539,-29.40,17.64,-866.32
8289,-30.38,17.64,-867.30
9039,-29.40,18.62,-868.28
9789,-28.42,16.66,-871.22
10540,-29.40,16.66,-866.32
11290,-30.38,16.66,-870.24
12040,-28.42,16.66,-870.24
12791,-29.40,18.62,-875.14
13541,-29.40,17.64,-880.04
14291,-30.38,17.64,-877.10
15041,-29.40,16.66,-868.28
15791,-33.32,14.70,-866.32
16541,-28.42,15.68,-865.34
17292,-26.46,14.70,-867.30
18042,-28.42,14.70,-865.34
18792,-29.40,17.64,-866.32
19542,-32.34,14.70,-870.24
20293,-28.42,17.64,-873.18
21043,-30.38,19.60,-870.24
21794,-32.34,17.64,-864.36
22544,-26.46,17.64,-868.28
23294,-25.48,12.74,-869.26
24044,-27.44,16.66,-865.34
24794,-26.46,13.72,-867.30
25544,-27.44,12.74,-863.38
26294,-29.40,12.74,-865.34
27045,-34.30,12.74,-868.28
27795,-32.34,13.72,-864.36
28545,-35.28,17.64,-869.26
29295,-35.28,15.68,-867.30
30045,-28.42,16.66,-876.12
30795,-26.46,18.62,-873.18
31546,-27.44,16.66,-870.24
32296,-30.38,13.72,-868.28
33045,-31.36,13.72,-871.22
33795,-30.38,15.68,-868.28
34545,-29.40,18.62,-869.26
35295,-29.40,17.64,-872.20
36045,-30.38,16.66,-880.04
36796,-31.36,18.62,-872.20
37546,-32.34,18.62,-868.28
38296,-29.40,20.58,-865.34
39046,-29.40,19.60,-863.38
39796,-31.36,19.60,-864.36
40546,-29.40,16.66,-864.36
41296,-31.36,14.70,-871.22
42046,-32.34,12.74,-864.36
42796,-33.32,15.68,-858.48
43546,-27.44,19.60,-867.30
44296,-30.38,20.58,-867.30
45046,-32.34,17.64,-865.34
45796,-26.46,19.60,-872.20
46546,-30.38,19.60,-868.28
47296,-31.36,20.58,-881.02
48046,-29.40,18.62,-872.20
48796,-32.34,17.64,-867.30
49546,-26.46,16.66,-868.28
50296,-27.44,17.64,-864.36
51046,-27.44,15.68,-862.40
51796,-29.40,12.74,-864.36
52546,-29.40,11.76,-868.28
53296,-36.26,13.72,-867.30
54047,-32.34,13.72,-865.34
54797,-32.34,14.70,-870.24
55547,-33.32,13.72,-871.22
56297,-30.38,14.70,-865.34
57048,-29.40,16.66,-862.40
57798,-28.42,17.64,-862.40
58548,-29.40,15.68,-863.38
59298,-30.38,12.74,-862.40
60049,-28.42,13.72,-867.30
60799,-33.32,12.74,-860.44
61549,-32.34,14.70,-866.32
62300,-30.38,17.64,-870.24
63050,-32.34,16.66,-867.30
63801,-31.36,17.64,-867.30
64551,-32.34,16.66,-867.30
65302,-32.34,13.72,-865.34
66052,-32.34,15.68,-869.26
66803,-26.46,17.64,-863.38
67553,-24.50,20.58,-865.34
68303,-28.42,24.50,-867.30
69054,-34.30,20.58,-876.12
69804,-33.32,18.62,-867.30
70555,-31.36,15.68,-866.32
71306,-33.32,15.68,-869.26
72056,-36.26,16.66,-869.26
72806,-36.26,14.70,-868.28
73557,-34.30,19.60,-871.22
74308,-35.28,15.68,-867.30
75059,-31.36,16.66,-862.40
75809,-32.34,17.64,-871.22
76560,-34.30,16.66,-876.12
77310,-34.30,16.66,-874.16
78061,-30.38,15.68,-869.26
78811,-32.34,16.66,-869.26
79562,-26.46,14.70,-864.36
80312,-25.48,19.60,-866.32
81062,-28.42,18.62,-871.22
81813,-27.44,18.62,-869.26
82562,-33.32,18.62,-872.20
83313,-30.38,18.62,-871.22
84063,-31.36,15.68,-868.28
84813,-32.34,15.68,-872.20
85563,-24.50,10.78,-870.24
86313,-23.52,17.64,-867.30
87063,-24.50,17.64,-866.32
87814,-22.54,19.60,-869.26
