=== Résumé acquisition ===
Fréquence théorique (Hz),1344.00
Écart moyen (µs),750.31
Écart min (µs),745
Écart max (µs),757
Fréquence moyenne (Hz),1332.79
Fréquence min (Hz),1321.00
Fréquence max (Hz),1342.28

t(us),X(mg),Y(mg),Z(mg)
3828,-9.80,31.36,-863.38
4577,-10.78,28.42,-874.16
5330,-10.78,32.34,-867.30
6078,-17.64,34.30,-870.24
6828,-15.68,33.32,-870.24
7578,-11.76,33.32,-875.14
8329,-8.82,31.36,-877.10
9079,-6.86,30.38,-873.18
9829,-6.86,32.34,-875.14
10579,-10.78,31.36,-868.28
11330,-5.88,31.36,-872.20
12080,-10.78,33.32,-873.18
12830,-7.84,36.26,-875.14
13581,-8.82,33.32,-870.24
14332,-8.82,32.34,-877.10
15082,-8.82,31.36,-876.12
15832,-6.86,32.34,-872.20
16582,-7.84,33.32,-876.12
17333,-8.82,32.34,-876.12
18083,-8.82,39.20,-879.06
18833,-9.80,37.24,-871.22
19584,-13.72,34.30,-870.24
20334,-12.74,34.30,-878.08
21085,-11.76,36.26,-874.16
21835,-9.80,34.30,-874.16
22585,-7.84,36.26,-874.16
23336,-5.88,35.28,-873.18
24086,-7.84,34.30,-863.38
24836,-7.84,34.30,-872.20
25586,-6.86,30.38,-871.22
26337,-11.76,32.34,-873.18
27087,-11.76,33.32,-872.20
27837,-10.78,33.32,-878.08
28588,-14.70,32.34,-873.18
29338,-11.76,34.30,-875.14
30088,-9.80,36.26,-872.20
30838,-5.88,33.32,-875.14
31589,-7.84,31.36,-871.22
32339,-12.74,31.36,-873.18
33089,-11.76,32.34,-881.02
33839,-10.78,33.32,-871.22
34589,-8.82,33.32,-865.34
35339,-10.78,34.30,-869.26
36090,-9.80,34.30,-865.34
36840,-9.80,30.38,-862.40
37590,-8.82,31.36,-863.38
38340,-5.88,30.38,-859.46
39091,-5.88,33.32,-859.46
39841,-4.90,33.32,-863.38
40591,-9.80,32.34,-869.26
41341,-11.76,35.28,-871.22
42092,-8.82,30.38,-878.08
42843,-4.90,32.34,-875.14
43591,-3.92,41.16,-871.22
44341,-6.86,35.28,-871.22
45091,-8.82,37.24,-871.22
45841,-7.84,32.34,-875.14
46591,-5.88,32.34,-877.10
47341,-13.72,33.32,-871.22
48091,-9.80,32.34,-868.28
48841,-9.80,33.32,-865.34
49591,-11.76,31.36,-862.40
50341,-9.80,33.32,-868.28
51091,-10.78,31.36,-874.16
51841,-7.84,34.30,-874.16
52592,-9.80,30.38,-871.22
53343,-10.78,32.34,-878.08
54093,-9.80,35.28,-877.10
54843,-6.86,34.30,-869.26
55594,-8.82,36.26,-871.22
56344,-5.88,35.28,-869.26
57095,-11.76,32.34,-869.26
57845,-9.80,33.32,-873.18
58596,-11.76,33.32,-868.28
59346,-13.72,33.32,-869.26
60096,-12.74,33.32,-867.30
60847,-12.74,31.36,-870.24
61597,-10.78,30.38,-863.38
62348,-5.88,33.32,-868.28
63098,-5.88,36.26,-864.36
63849,-7.84,38.22,-864.36
64599,-7.84,37.24,-869.26
65349,-8.82,39.20,-875.14
66100,-10.78,37.24,-878.08
66851,-11.76,37.24,-878.08
67601,-12.74,34.30,-875.14
68352,-16.66,32.34,-867.30
69102,-13.72,35.28,-868.28
69852,-10.78,34.30,-867.30
70603,-14.70,33.32,-869.26
71353,-14.70,33.32,-873.18
72104,-10.78,34.30,-870.24
72854,-10.78,33.32,-865.34
73604,-13.72,35.28,-866.32
74355,-13.72,34.30,-870.24
75105,-14.70,33.32,-871.22
75855,-12.74,35.28,-867.30
76606,-9.80,36.26,-869.26
77356,-10.78,35.28,-869.26
78107,-10.78,31.36,-877.10
78858,-10.78,33.32,-870.24
79608,-11.76,33.32,-879.06
80359,-11.76,32.34,-876.12
81109,-10.78,32.34,-875.14
81860,-10.78,34.30,-862.40
82610,-9.80,29.40,-871.22
83360,-14.70,32.34,-874.16
84110,-9.80,35.28,-867.30
84860,-8.82,36.26,-871.22
85611,-10.78,33.32,-869.26
86361,-11.76,34.30,-873.18
87111,-9.80,31.36,-873.18
87861,-7.84,32.34,-872.20
88612,-4.90,32.34,-868.28
89362,-3.92,32.34,-875.14
90112,-6.86,33.32,-872.20
90862,-4.90,33.32,-871.22
91613,-8.82,33.32,-874.16
92363,-7.84,34.30,-874.16
93114,-6.86,36.26,-871.22
93865,-6.86,30.38,-876.12
94615,-4.90,32.34,-875.14
95366,-4.90,34.30,-870.24
96117,-10.78,31.36,-864.36
96867,-7.84,32.34,-870.24
97617,-4.90,33.32,-870.24
98368,-5.88,33.32,-871.22
99118,-5.88,36.26,-874.16
99868,-10.78,37.24,-871.22
100619,-13.72,38.22,-878.08
101369,-11.76,36.26,-877.10
102120,-11.76,40.18,-875.14
102870,-12.74,36.26,-878.08
103621,-13.72,34.30,-875.14
104371,-11.76,36.26,-875.14
105122,-6.86,34.30,-878.08
105874,-5.88,35.28,-873.18
106623,-6.86,32.34,-866.32
107374,-6.86,33.32,-862.40
108124,-6.86,35.28,-866.32
108875,-9.80,36.26,-866.32
109625,-7.84,38.22,-866.32
110375,-7.84,35.28,-876.12
111126,-6.86,35.28,-877.10
111876,-5.88,32.34,-871.22
112627,-11.76,35.28,-869.26
113377,-9.80,34.30,-868.28
114128,-14.70,35.28,-868.28
114879,-13.72,32.34,-869.26
115629,-13.72,33.32,-871.22
116379,-11.76,32.34,-871.22
117130,-12.74,33.32,-873.18
117880,-8.82,35.28,-872.20
118630,-8.82,35.28,-874.16
119380,-7.84,32.34,-867.30
120131,-6.86,33.32,-871.22
120881,-7.84,34.30,-871.22
121632,-11.76,32.34,-875.14
122382,-12.74,35.28,-880.04
123133,-10.78,30.38,-880.04
123883,-12.74,36.26,-875.14
124633,-10.78,35.28,-871.22
125383,-7.84,34.30,-874.16
126134,-9.80,36.26,-871.22
126884,-7.84,35.28,-874.16
127635,-10.78,32.34,-875.14
128385,-11.76,29.40,-876.12
129135,-9.80,31.36,-876.12
129885,-5.88,29.40,-875.14
130635,-9.80,33.32,-876.12
131386,-8.82,34.30,-869.26
132136,-12.74,36.26,-874.16
132886,-8.82,34.30,-870.24
133636,-2.94,33.32,-864.36
134387,-7.84,35.28,-864.36
135136,-12.74,34.30,-865.34
135887,-8.82,37.24,-866.32
136638,-16.66,36.26,-869.26
137388,-8.82,36.26,-865.34
138139,-8.82,37.24,-870.24
138889,-10.78,33.32,-875.14
139639,-8.82,28.42,-869.26
140390,-6.86,32.34,-867.30
141140,-8.82,35.28,-860.44
141891,-8.82,32.34,-862.40
142641,-11.76,33.32,-869.26
143392,-9.80,39.20,-871.22
144143,-10.78,41.16,-867.30
144893,-7.84,34.30,-867.30
145645,-10.78,36.26,-872.20
146395,-12.74,34.30,-868.28
147145,-11.76,35.28,-867.30
147896,-8.82,33.32,-873.18
148646,-10.78,34.30,-872.20
149397,-6.86,32.34,-873.18
