=== Résumé acquisition ===
Fréquence théorique (Hz),1344.00
Écart moyen (µs),750.28
Écart min (µs),745
Écart max (µs),755
Fréquence moyenne (Hz),1332.83
Fréquence min (Hz),1324.50
Fréquence max (Hz),1342.28

t(us),X(mg),Y(mg),Z(mg)
3303,-11.76,31.36,-873.18
4055,-11.76,31.36,-870.24
4803,-12.74,33.32,-869.26
5555,-11.76,34.30,-868.28
6304,-12.74,33.32,-864.36
7054,-12.74,37.24,-867.30
7804,-10.78,36.26,-868.28
8554,-8.82,39.20,-868.28
9304,-11.76,41.16,-869.26
10054,-9.80,37.24,-865.34
10804,-10.78,35.28,-876.12
11554,-13.72,31.36,-871.22
12305,-9.80,33.32,-877.10
13055,-8.82,34.30,-879.06
13805,-8.82,34.30,-876.12
14555,-7.84,33.32,-870.24
15305,-12.74,33.32,-873.18
16056,-11.76,31.36,-874.16
16806,-11.76,27.44,-876.12
17556,-6.86,29.40,-870.24
18306,-8.82,32.34,-869.26
19056,-10.78,35.28,-868.28
19806,-8.82,39.20,-867.30
20557,-7.84,37.24,-868.28
21307,-6.86,34.30,-861.42
22057,-7.84,30.38,-862.40
22807,-4.90,28.42,-861.42
23558,-7.84,32.34,-858.48
24308,-7.84,33.32,-865.34
25058,-12.74,30.38,-863.38
25808,-10.78,34.30,-867.30
26558,-11.76,34.30,-867.30
27309,-10.78,33.32,-868.28
28059,-10.78,35.28,-872.20
28809,-10.78,32.34,-874.16
29560,-11.76,35.28,-875.14
30310,-9.80,33.32,-867.30
31061,-11.76,33.32,-867.30
31812,-11.76,35.28,-863.38
32563,-12.74,32.34,-860.44
33313,-10.78,31.36,-870.24
34064,-7.84,35.28,-873.18
34815,-8.82,35.28,-869.26
35566,-7.84,30.38,-873.18
36317,-9.80,32.34,-882.00
37067,-10.78,34.30,-878.08
37818,-8.82,35.28,-879.06
38569,-7.84,38.22,-864.36
39319,-9.80,37.24,-865.34
40069,-9.80,38.22,-855.54
40820,-9.80,34.30,-861.42
41570,-8.82,32.34,-864.36
42321,-9.80,30.38,-869.26
43071,-13.72,33.32,-865.34
43821,-11.76,33.32,-865.34
44572,-12.74,34.30,-869.26
45322,-10.78,38.22,-871.22
46072,-9.80,37.24,-869.26
46823,-13.72,38.22,-873.18
47573,-11.76,37.24,-866.32
48323,-15.68,33.32,-863.38
49074,-11.76,32.34,-870.24
49824,-14.70,31.36,-870.24
50574,-13.72,28.42,-870.24
51325,-10.78,34.30,-877.10
52075,-10.78,31.36,-877.10
52825,-8.82,30.38,-867.30
53575,-9.80,32.34,-867.30
54326,-10.78,32.34,-872.20
55077,-12.74,34.30,-869.26
55827,-9.80,32.34,-869.26
56577,-11.76,34.30,-868.28
57328,-7.84,36.26,-872.20
58079,-4.90,37.24,-877.10
58829,-11.76,36.26,-880.04
59580,-14.70,34.30,-879.06
60330,-15.68,34.30,-875.14
61080,-13.72,33.32,-874.16
61831,-9.80,34.30,-876.12
62581,-11.76,36.26,-875.14
63332,-11.76,36.26,-868.28
64082,-12.74,38.22,-879.06
64832,-6.86,35.28,-866.32
65582,-7.84,36.26,-868.28
66333,-9.80,36.26,-863.38
67084,-9.80,35.28,-863.38
67834,-11.76,29.40,-862.40
68584,-10.78,36.26,-868.28
69335,-8.82,33.32,-869.26
70086,-8.82,35.28,-869.26
70836,-3.92,35.28,-867.30
71587,-8.82,34.30,-866.32
