=== Résumé acquisition ===
Fréquence théorique (Hz),1344.00
Écart moyen (µs),861.77
Écart min (µs),642
Écart max (µs),1124
Fréquence moyenne (Hz),1160.40
Fréquence min (Hz),889.68
Fréquence max (Hz),1557.63

t(us),X(mg),Y(mg),Z(mg)
3345,47.04,44.10,988.82
4074,47.04,46.06,991.76
4801,49.98,49.00,991.76
5644,54.88,48.02,990.78
6334,56.84,49.98,988.82
7116,53.90,48.02,986.86
7839,50.96,49.00,984.90
8623,53.90,49.98,979.02
9345,53.90,48.02,983.92
10131,57.82,46.06,992.74
10916,57.82,48.02,989.80
11636,51.94,48.02,988.82
12424,49.00,46.06,987.84
13146,52.92,49.98,980.00
13931,54.88,49.00,979.02
14649,51.94,47.04,983.92
15438,51.94,46.06,984.90
16156,51.94,48.02,985.88
16941,49.98,48.02,989.80
17727,51.94,49.00,990.78
18448,49.98,46.06,983.92
19234,53.90,49.00,984.90
19953,49.98,46.06,987.84
20738,50.96,44.10,982.94
21459,54.88,42.14,984.90
22245,52.92,44.10,985.88
22964,51.94,43.12,988.82
23749,52.92,46.06,986.86
24538,56.84,50.96,987.84
25256,57.82,48.02,977.06
26046,55.86,51.94,982.94
26760,50.96,50.96,984.90
27549,55.86,49.98,990.78
28267,58.80,46.06,987.84
29056,55.86,44.10,985.88
29772,49.00,47.04,986.86
30561,51.94,47.04,986.86
31345,49.98,44.10,989.80
32069,53.90,47.04,989.80
32851,52.92,46.06,987.84
33576,49.00,44.10,981.96
34361,51.94,43.12,981.96
35085,50.96,42.14,986.86
35866,52.92,45.08,983.92
36588,49.00,48.02,982.94
37372,49.00,49.00,984.90
38095,52.92,47.04,985.88
38876,50.96,44.10,983.92
39667,49.00,47.04,988.82
40385,52.92,46.06,984.90
41176,59.78,46.06,983.92
41890,54.88,48.02,985.88
42682,52.92,45.08,978.04
43400,51.94,43.12,980.98
44189,49.98,46.06,988.82
44905,49.98,46.06,990.78
45694,46.06,47.04,984.90
46478,47.04,46.06,988.82
47202,49.00,45.08,988.82
47988,54.88,46.06,988.82
48706,49.00,45.08,987.84
49490,49.00,44.10,986.86
50212,49.98,47.04,986.86
50998,49.00,46.06,988.82
51783,50.96,46.06,982.94
52503,49.00,41.16,982.94
53290,49.98,44.10,985.88
54009,49.98,44.10,986.86
54794,54.88,44.10,984.90
55514,49.98,45.08,988.82
