=== Résumé acquisition ===
Fréquence théorique (Hz),1344.00
Écart moyen (µs),861.50
Écart min (µs),653
Écart max (µs),1053
Fréquence moyenne (Hz),1160.76
Fréquence min (Hz),949.67
Fréquence max (Hz),1531.39

t(us),X(mg),Y(mg),Z(mg)
3777,17.64,41.16,992.74
4582,18.62,41.16,987.84
5374,19.60,41.16,992.74
6054,18.62,40.18,992.74
6844,22.54,43.12,990.78
7561,19.60,44.10,988.82
8349,21.56,43.12,990.78
9068,15.68,40.18,991.76
9853,17.64,42.14,993.72
10574,21.56,42.14,994.70
11362,26.46,43.12,997.64
12146,19.60,44.10,994.70
12864,21.56,43.12,989.80
13651,18.62,41.16,989.80
14372,20.58,39.20,991.76
15157,21.56,37.24,989.80
15875,24.50,41.16,993.72
16659,23.52,41.16,989.80
17447,24.50,38.22,992.74
18172,24.50,40.18,988.82
18952,20.58,41.16,992.74
19675,21.56,40.18,990.78
20459,20.58,40.18,989.80
21182,17.64,41.16,990.78
21961,17.64,42.14,991.76
22686,16.66,44.10,992.74
23470,22.54,46.06,995.68
24261,18.62,43.12,991.76
24976,22.54,43.12,989.80
25765,24.50,38.22,985.88
26482,20.58,40.18,996.66
27274,24.50,42.14,996.66
27993,24.50,45.08,997.64
28780,19.60,43.12,991.76
29565,22.54,41.16,992.74
30287,24.50,40.18,991.76
31074,21.56,38.22,994.70
31792,23.52,39.20,988.82
32577,18.62,39.20,992.74
33299,20.58,41.16,992.74
34085,19.60,40.18,992.74
34870,22.54,43.12,990.78
35590,25.48,42.14,987.84
36326,23.52,41.16,986.86
37119,23.52,43.12,990.78
37861,20.58,39.20,987.84
38653,22.54,37.24,988.82
39371,20.58,40.18,995.68
40162,17.64,40.18,994.70
40878,16.66,44.10,997.64
41669,19.60,42.14,991.76
42386,17.64,39.20,991.76
43178,18.62,37.24,991.76
43892,21.56,40.18,994.70
44684,20.58,43.12,991.76
45468,17.64,42.14,994.70
46193,22.54,44.10,991.76
46975,27.44,41.16,991.76
47698,21.56,42.14,993.72
48483,19.60,43.12,990.78
49207,22.54,41.16,991.76
49994,25.48,41.16,991.76
50713,24.50,39.20,993.72
51499,20.58,40.18,985.88
52221,22.54,38.22,984.90
53008,24.50,40.18,985.88
53792,25.48,40.18,986.86
54510,22.54,41.16,990.78
55299,24.50,39.20,985.88
56018,24.50,38.22,984.90
56804,26.46,38.22,987.84
57525,21.56,36.26,989.80
58313,22.54,39.20,993.72
59098,21.56,42.14,993.72
59817,18.62,41.16,992.74
60604,15.68,39.20,989.80
61326,19.60,37.24,987.84
62113,15.68,35.28,991.76
62831,18.62,33.32,992.74
63617,22.54,37.24,989.80
64339,19.60,36.26,989.80
65125,22.54,38.22,995.68
65909,23.52,38.22,993.72
66628,19.60,39.20,981.96
67416,13.72,41.16,982.94
68137,16.66,42.14,980.00
68924,20.58,42.14,987.84
69643,18.62,42.14,988.82
70432,18.62,41.16,993.72
71152,19.60,46.06,991.76
71939,17.64,43.12,986.86
72658,16.66,41.16,990.78
73447,16.66,39.20,991.76
74172,20.58,37.24,990.78
74952,21.56,41.16,987.84
75742,18.62,42.14,987.84
76459,21.56,43.12,985.88
77248,23.52,42.14,995.68
77961,16.66,43.12,995.68
78753,18.62,36.26,989.80
79538,19.60,37.24,989.80
80260,17.64,35.28,988.82
81047,15.68,33.32,987.84
81765,17.64,36.26,985.88
82551,18.62,41.16,987.84
83273,20.58,42.14,987.84
84058,21.56,41.16,993.72
84776,21.56,41.16,993.72
85560,19.60,40.18,990.78
86349,15.68,40.18,991.76
87068,20.58,39.20,986.86
87853,18.62,39.20,987.84
88574,19.60,41.16,991.76
89362,23.52,40.18,991.76
90080,21.56,42.14,993.72
90864,17.64,43.12,991.76
91651,19.60,42.14,994.70
92372,18.62,41.16,991.76
93156,17.64,40.18,989.80
93874,15.68,42.14,989.80
94659,16.66,40.18,990.78
95381,18.62,43.12,994.70
96165,18.62,38.22,998.62
96886,15.68,39.20,997.64
97671,17.64,35.28,996.66
98459,16.66,40.18,993.72
99178,18.62,38.22,988.82
99962,21.56,43.12,996.66
100681,19.60,43.12,992.74
101469,17.64,40.18,995.68
102189,24.50,42.14,994.70
102975,20.58,40.18,990.78
103760,21.56,40.18,989.80
104482,23.52,41.16,983.92
105269,22.54,41.16,980.98
106043,20.58,39.20,994.70
106792,22.54,40.18,990.78
107511,18.62,38.22,989.80
108299,18.62,38.22,986.86
109018,16.66,40.18,992.74
109812,19.60,42.14,997.64
110531,22.54,44.10,994.70
111320,25.48,42.14,991.76
112040,24.50,42.14,991.76
112826,22.54,45.08,995.68
113546,19.60,42.14,994.70
114334,21.56,42.14,983.92
115121,22.54,41.16,993.72
115840,18.62,42.14,991.76
116626,20.58,40.18,990.78
117349,21.56,44.10,989.80
118134,22.54,43.12,989.80
118853,19.60,43.12,986.86
119641,16.66,43.12,988.82
120362,19.60,43.12,991.76
121146,17.64,42.14,990.78
121930,13.72,44.10,990.78
122649,15.68,43.12,982.94
123438,17.64,43.12,983.92
124158,16.66,40.18,988.82
124945,22.54,42.14,991.76
125664,21.56,45.08,996.66
126452,21.56,43.12,992.74
127171,21.56,42.14,990.78
127957,16.66,43.12,988.82
128741,19.60,45.08,989.80
129463,16.66,43.12,987.84
130248,20.58,42.14,988.82
130968,21.56,43.12,987.84
131753,18.62,44.10,994.70
132475,14.70,40.18,993.72
133260,14.70,41.16,989.80
133979,18.62,41.16,993.72
134764,19.60,38.22,987.84
135553,21.56,41.16,989.80
136271,25.48,41.16,988.82
137060,22.54,45.08,990.78
137826,23.52,45.08,989.80
138525,23.52,46.06,984.90
139311,21.56,44.10,992.74
140068,21.56,44.10,987.84
140789,17.64,42.14,985.88
141574,16.66,40.18,983.92
142361,18.62,43.12,991.76
143080,17.64,40.18,989.80
143864,16.66,40.18,993.72
144585,17.64,43.12,991.76
145372,16.66,40.18,990.78
146090,16.66,40.18,991.76
146874,20.58,41.16,986.86
147658,24.50,41.16,981.96
148380,25.48,41.16,983.92
149164,21.56,44.10,980.98
149884,21.56,45.08,985.88
150669,22.54,44.10,983.92
151391,28.42,43.12,987.84
152178,23.52,45.08,993.72
152962,22.54,43.12,991.76
153681,16.66,44.10,990.78
154469,18.62,40.18,996.66
155189,11.76,42.14,991.76
155975,14.70,41.16,996.66
156693,21.56,42.14,989.80
157482,18.62,42.14,992.74
158200,24.50,42.14,990.78
158990,21.56,40.18,990.78
159773,22.54,45.08,989.80
160494,23.52,42.14,987.84
161228,20.58,40.18,991.76
162012,20.58,42.14,993.72
162797,19.60,39.20,994.70
163518,19.60,36.26,991.76
164306,20.58,39.20,991.76
165023,19.60,38.22,987.84
165808,18.62,39.20,985.88
166526,19.60,39.20,983.92
167314,26.46,38.22,983.92
168099,26.46,41.16,989.80
168819,27.44,35.28,991.76
169605,21.56,36.26,990.78
170326,20.58,39.20,992.74
171114,20.58,38.22,990.78
171831,21.56,36.26,990.78
172620,18.62,37.24,985.88
173342,16.66,37.24,984.90
174128,18.62,40.18,990.78
174848,18.62,42.14,996.66
175636,19.60,44.10,993.72
176424,20.58,42.14,991.76
177144,21.56,44.10,988.82
177930,22.54,41.16,990.78
178649,25.48,41.16,994.70
179438,19.60,40.18,994.70
180158,19.60,42.14,999.60
180945,21.56,43.12,1000.58
181664,18.62,41.16,997.64
182452,22.54,41.16,995.68
183237,21.56,41.16,992.74
183957,19.60,39.20,987.84
184741,18.62,35.28,988.82
185463,17.64,38.22,991.76
186249,14.70,38.22,990.78
186968,18.62,42.14,988.82
187753,17.64,41.16,988.82
188475,18.62,46.06,989.80
189261,19.60,44.10,992.74
190051,19.60,44.10,985.88
190765,22.54,40.18,982.94
191553,21.56,40.18,984.90
192271,22.54,40.18,982.94
193060,19.60,40.18,990.78
193776,21.56,42.14,991.76
194565,17.64,40.18,993.72
195350,15.68,39.20,992.74
196073,21.56,40.18,992.74
196855,17.64,41.16,997.64
197580,18.62,40.18,992.74
198365,22.54,42.14,991.76
199089,20.58,42.14,987.84
199870,19.60,43.12,993.72
200592,23.52,42.14,1001.56
201376,23.52,44.10,995.68
202166,25.48,43.12,987.84
202880,25.48,40.18,985.88
203671,22.54,39.20,984.90
204388,20.58,42.14,983.92
205178,18.62,39.20,989.80
205892,18.62,36.26,989.80
206684,20.58,42.14,987.84
207401,20.58,41.16,988.82
208191,16.66,38.22,991.76
208972,17.64,42.14,988.82
209694,23.52,41.16,981.96
210478,20.58,40.18,986.86
211200,21.56,40.18,986.86
211986,19.60,43.12,993.72
212706,22.54,41.16,992.74
213493,20.58,43.12,990.78
214215,21.56,43.12,991.76
215001,18.62,41.16,989.80
215787,21.56,40.18,990.78
216507,17.64,39.20,985.88
217295,17.64,41.16,984.90
218016,18.62,39.20,990.78
218802,21.56,40.18,989.80
219523,22.54,39.20,990.78
220311,28.42,40.18,993.72
221029,25.48,42.14,993.72
221814,22.54,43.12,989.80
222599,20.58,43.12,989.80
223320,20.58,40.18,991.76
224106,17.64,39.20,990.78
224826,17.64,40.18,984.90
225612,19.60,41.16,988.82
226334,21.56,37.24,991.76
227120,20.58,38.22,990.78
227839,19.60,37.24,993.72
228625,19.60,38.22,996.66
229347,19.60,43.12,996.66
230133,17.64,42.14,993.72
230919,19.60,45.08,995.68
231640,17.64,45.08,993.72
232427,20.58,45.08,993.72
233148,19.60,43.12,992.74
233935,23.52,43.12,992.74
234656,23.52,43.12,992.74
235444,23.52,41.16,996.66
236162,19.60,39.20,989.80
236947,21.56,40.18,991.76
237731,21.56,43.12,992.74
238453,21.56,40.18,989.80
239237,22.54,43.12,991.76
239957,19.60,41.16,991.76
240760,22.54,44.10,991.76
241467,20.58,42.14,988.82
242258,21.56,44.10,989.80
243021,21.56,45.08,985.88
243744,22.54,42.14,985.88
244531,18.62,42.14,985.88
245253,20.58,41.16,992.74
246040,22.54,37.24,986.86
246826,18.62,39.20,987.84
247546,20.58,37.24,985.88
248334,18.62,40.18,991.76
249054,20.58,41.16,999.60
249840,19.60,40.18,993.72
250560,18.62,38.22,997.64
251349,16.66,41.16,992.74
252068,18.62,37.24,999.60
252853,20.58,38.22,995.68
253574,18.62,39.20,990.78
254362,22.54,41.16,990.78
255146,21.56,39.20,989.80
255864,20.58,38.22,986.86
256651,20.58,40.18,987.84
257372,19.60,40.18,988.82
258156,23.52,42.14,988.82
258874,21.56,45.08,985.88
259658,21.56,48.02,980.98
260447,24.50,48.02,987.84
261172,20.58,44.10,988.82
261952,19.60,38.22,990.78
262675,22.54,41.16,993.72
263459,18.62,41.16,993.72
264181,19.60,42.14,992.74
264961,20.58,41.16,985.88
265751,21.56,43.12,986.86
266468,14.70,40.18,990.78
267259,17.64,37.24,989.80
267975,20.58,41.16,991.76
268764,19.60,37.24,984.90
269482,20.58,38.22,989.80
270274,21.56,44.10,990.78
270993,20.58,43.12,992.74
