=== Résumé acquisition ===
Fréquence théorique (Hz),1344.00
Écart moyen (µs),870.99
Écart min (µs),669
Écart max (µs),1491
Fréquence moyenne (Hz),1148.11
Fréquence min (Hz),670.69
Fréquence max (Hz),1494.77

t(us),X(mg),Y(mg),Z(mg)
3524,18.62,42.14,989.80
4228,19.60,40.18,984.90
4956,18.62,42.14,984.90
5743,16.66,43.12,987.84
6539,16.66,45.08,989.80
7279,15.68,39.20,993.72
7990,19.60,37.24,990.78
8781,19.60,38.22,989.80
9502,17.64,40.18,988.82
10291,18.62,42.14,990.78
11009,21.56,42.14,991.76
11794,17.64,45.08,993.72
12582,15.68,48.02,993.72
13303,17.64,45.08,990.78
14087,17.64,41.16,991.76
14805,23.52,41.16,993.72
15589,24.50,43.12,987.84
16312,24.50,42.14,985.88
17096,19.60,39.20,988.82
17883,13.72,41.16,987.84
18602,17.64,41.16,983.92
19390,19.60,38.22,983.92
20110,22.54,38.22,979.02
20895,18.62,39.20,982.94
21615,19.60,41.16,986.86
22404,18.62,42.14,988.82
23123,21.56,42.14,993.72
23910,17.64,43.12,990.78
24695,16.66,43.12,992.74
25418,20.58,43.12,992.74
26204,20.58,43.12,989.80
26925,21.56,40.18,992.74
27711,24.50,38.22,994.70
28433,21.56,36.26,990.78
29221,21.56,40.18,994.70
29942,21.56,37.24,996.66
30728,24.50,35.28,991.76
31520,21.56,37.24,991.76
32237,16.66,40.18,981.96
33026,22.54,40.18,979.02
33739,23.52,42.14,991.76
34528,25.48,43.12,993.72
35246,19.60,42.14,997.64
36039,17.64,44.10,998.62
36821,22.54,41.16,992.74
37545,23.52,39.20,988.82
38329,19.60,39.20,993.72
39054,20.58,44.10,989.80
39836,20.58,39.20,989.80
40558,19.60,40.18,993.72
41342,16.66,42.14,999.60
42066,19.60,43.12,993.72
42848,20.58,41.16,994.70
43571,19.60,41.16,990.78
44355,18.62,40.18,987.84
45147,19.60,43.12,987.84
45861,20.58,43.12,984.90
46653,19.60,42.14,982.94
47369,21.56,38.22,987.84
