=== Résumé acquisition ===
Fréquence théorique (Hz),1344.00
Écart moyen (µs),973.93
Écart min (µs),649
Écart max (µs),1120
Fréquence moyenne (Hz),1026.77
Fréquence min (Hz),892.86
Fréquence max (Hz),1540.83

t(us),X(mg),Y(mg),Z(mg)
3883,29.40,-7.84,974.12
4685,30.38,-5.88,981.96
5386,29.40,-7.84,986.86
6171,30.38,-9.80,989.80
6892,31.36,-11.76,988.82
7677,29.40,-9.80,986.86
8399,25.48,-6.86,984.90
9187,26.46,-6.86,985.88
9907,34.30,-6.86,988.82
10692,30.38,-7.84,989.80
11480,27.44,-8.82,988.82
12197,28.42,-12.74,983.92
12987,31.36,-10.78,985.88
13701,29.40,-7.84,988.82
14493,34.30,-8.82,987.84
15210,31.36,-7.84,987.84
16002,32.34,-9.80,983.92
16716,34.30,-8.82,987.84
17506,29.40,-6.86,985.88
18290,29.40,-7.84,987.84
19014,27.44,-9.80,989.80
19794,25.48,-9.80,986.86
20517,26.46,-7.84,980.00
21301,30.38,-5.88,983.92
22025,27.44,-5.88,984.90
22805,28.42,-10.78,987.84
23528,29.40,-8.82,989.80
24310,31.36,-7.84,988.82
25099,30.38,-6.86,985.88
25812,33.32,-5.88,983.92
26603,35.28,-4.90,985.88
27320,37.24,-6.86,989.80
28109,35.28,-5.88,982.94
28824,32.34,-6.86,989.80
29613,28.42,-7.84,987.84
30397,28.42,-7.84,992.74
31119,26.46,-7.84,990.78
31900,29.40,-7.84,984.90
32626,27.44,-6.86,987.84
33409,29.40,-6.86,987.84
34133,27.44,-6.86,988.82
34914,21.56,-8.82,992.74
35637,28.42,-6.86,991.76
36420,28.42,-10.78,993.72
37209,27.44,-9.80,993.72
37922,27.44,-6.86,993.72
38710,30.38,-7.84,992.74
39427,35.28,-7.84,988.82
40216,36.26,-8.82,985.88
41002,34.30,-6.86,987.84
41721,30.38,-5.88,982.94
42506,32.34,-9.80,982.94
43228,32.34,-9.80,979.02
44014,31.36,-8.82,980.98
44733,32.34,-9.80,990.78
45517,34.30,-6.86,988.82
46239,33.32,-8.82,990.78
47025,33.32,-8.82,991.76
47745,31.36,-8.82,990.78
48532,25.48,-9.80,988.82
49320,25.48,-9.80,995.68
50038,26.46,-7.84,990.78
50825,28.42,-7.84,986.86
51546,27.44,-7.84,989.80
52334,33.32,-6.86,989.80
53053,34.30,-8.82,982.94
53838,35.28,-9.80,988.82
54559,30.38,-8.82,985.88
55347,24.50,-6.86,983.92
56131,25.48,-6.86,982.94
56849,27.44,-4.90,983.92
57635,29.40,-7.84,983.92
58357,30.38,-9.80,985.88
59141,30.38,-7.84,987.84
59860,34.30,-6.86,984.90
60613,31.36,-4.90,987.84
61402,26.46,-5.88,981.96
62187,26.46,-3.92,987.84
62907,29.40,-3.92,988.82
63692,30.38,-6.86,990.78
64413,31.36,-9.80,990.78
65200,35.28,-7.84,986.86
65917,32.34,-8.82,985.88
66703,31.36,-5.88,991.76
67424,30.38,-8.82,989.80
68210,31.36,-9.80,988.82
69002,28.42,-7.84,987.84
69716,29.40,-7.84,982.94
70506,29.40,-8.82,988.82
71256,35.28,-8.82,997.64
71980,34.30,-7.84,993.72
72738,32.34,-8.82,994.70
73537,29.40,-8.82,998.62
74253,31.36,-8.82,986.86
75044,32.34,-9.80,987.84
75758,32.34,-10.78,989.80
76546,26.46,-5.88,995.68
77263,25.48,-7.84,985.88
78053,28.42,-8.82,983.92
78768,33.32,-8.82,988.82
79559,31.36,-8.82,986.86
80343,33.32,-6.86,991.76
81068,34.30,-8.82,988.82
81849,34.30,-8.82,983.92
82573,33.32,-8.82,980.00
83356,30.38,-10.78,986.86
84080,32.34,-8.82,983.92
84860,33.32,-9.80,991.76
85583,33.32,-8.82,988.82
86367,33.32,-9.80,988.82
87157,32.34,-5.88,986.86
87871,30.38,-6.86,981.96
88661,30.38,-7.84,980.98
89378,31.36,-9.80,979.02
90169,30.38,-8.82,980.98
90882,27.44,-6.86,986.86
91672,26.46,-8.82,988.82
92455,32.34,-7.84,992.74
93178,33.32,-6.86,992.74
93958,36.26,-3.92,996.66
94681,34.30,-6.86,995.68
95464,34.30,-8.82,994.70
96186,31.36,-6.86,996.66
96967,28.42,-8.82,988.82
97692,30.38,-7.84,992.74
98478,33.32,-8.82,988.82
99266,35.28,-9.80,992.74
99985,30.38,-6.86,983.92
100772,32.34,-8.82,980.98
101493,29.40,-8.82,985.88
102280,28.42,-7.84,987.84
102998,29.40,-7.84,990.78
103783,31.36,-7.84,991.76
104568,29.40,-9.80,992.74
