=== Résumé acquisition ===
Fréquence théorique (Hz),1344.00
Écart moyen (µs),973.98
Écart min (µs),506
Écart max (µs),1538
Fréquence moyenne (Hz),1026.72
Fréquence min (Hz),650.20
Fréquence max (Hz),1976.28

t(us),X(mg),Y(mg),Z(mg)
3495,23.52,-5.88,987.84
4261,25.48,-7.84,993.72
5042,31.36,-7.84,990.78
5759,33.32,-5.88,984.90
6552,29.40,-5.88,983.92
7343,27.44,-6.86,983.92
8092,28.42,-7.84,981.96
8819,27.44,-6.86,988.82
9539,27.44,-6.86,989.80
10326,24.50,-5.88,986.86
11047,29.40,-9.80,983.92
11832,30.38,-11.76,991.76
12550,30.38,-9.80,989.80
13337,28.42,-10.78,987.84
14124,29.40,-5.88,982.94
14843,28.42,-6.86,980.00
15627,27.44,-7.84,984.90
16349,26.46,-10.78,987.84
17135,26.46,-7.84,986.86
17854,32.34,-7.84,990.78
18640,33.32,-5.88,988.82
19428,32.34,-6.86,986.86
20148,34.30,-4.90,985.88
20933,32.34,-6.86,984.90
21653,32.34,-6.86,991.76
22440,32.34,-7.84,988.82
23158,35.28,-9.80,988.82
23944,31.36,-11.76,985.88
24727,28.42,-7.84,986.86
25449,34.30,-6.86,990.78
26233,32.34,-7.84,986.86
26950,34.30,-7.84,987.84
27736,33.32,-6.86,984.90
28523,33.32,-5.88,989.80
29240,35.28,-7.84,985.88
30029,31.36,-8.82,983.92
30744,31.36,-8.82,989.80
31533,35.28,-7.84,986.86
32250,32.34,-4.90,983.92
33039,32.34,-7.84,980.00
33821,37.24,-7.84,988.82
34545,35.28,-9.80,986.86
35329,32.34,-7.84,987.84
36052,35.28,-8.82,996.66
36834,31.36,-8.82,989.80
37557,31.36,-5.88,989.80
38341,30.38,-5.88,986.86
39065,29.40,-6.86,994.70
39847,29.40,-5.88,993.72
40636,29.40,-4.90,991.76
41354,26.46,-5.88,988.82
42142,26.46,-3.92,983.92
42858,27.44,-5.88,983.92
43648,27.44,-7.84,989.80
44365,30.38,-7.84,990.78
45155,31.36,-5.88,991.76
45937,33.32,-5.88,986.86
46661,30.38,-7.84,984.90
47445,32.34,-8.82,985.88
48170,29.40,-6.86,987.84
48949,28.42,-5.88,987.84
49738,30.38,-3.92,992.74
50455,27.44,-3.92,984.90
51244,30.38,-3.92,984.90
51957,31.36,-4.90,991.76
52747,36.26,0.00,984.90
53464,35.28,-2.94,988.82
54252,35.28,-3.92,987.84
55039,33.32,-4.90,984.90
55756,35.28,-5.88,980.00
56543,29.40,-5.88,983.92
57264,27.44,-6.86,984.90
58049,28.42,-7.84,989.80
58769,30.38,-5.88,989.80
59555,28.42,-7.84,982.94
60343,30.38,-6.86,989.80
61063,29.40,-5.88,984.90
61847,32.34,-4.90,981.96
62569,26.46,-7.84,987.84
63357,27.44,-5.88,984.90
64075,27.44,-7.84,977.06
64860,30.38,-9.80,984.90
65646,33.32,-9.80,986.86
66367,31.36,-10.78,985.88
67152,34.30,-7.84,983.92
67871,33.32,-9.80,987.84
68655,30.38,-10.78,985.88
69376,34.30,-8.82,979.02
70160,31.36,-7.84,983.92
70944,32.34,-8.82,984.90
71661,37.24,-6.86,985.88
72449,31.36,-6.86,989.80
73167,29.40,-7.84,988.82
73950,28.42,-10.78,993.72
74736,29.40,-7.84,991.76
75456,34.30,-6.86,990.78
76241,33.32,-7.84,989.80
76958,33.32,-10.78,990.78
77744,30.38,-7.84,994.70
78465,27.44,-7.84,987.84
79251,30.38,-6.86,988.82
80041,34.30,-6.86,988.82
80756,32.34,-6.86,991.76
81545,26.46,-10.78,990.78
82262,28.42,-10.78,995.68
83053,26.46,-7.84,997.64
83769,25.48,-10.78,987.84
84557,27.44,-9.80,991.76
85275,29.40,-8.82,991.76
86065,25.48,-5.88,986.86
86846,31.36,-6.86,980.00
87570,29.40,-3.92,981.96
88354,24.50,-7.84,981.96
89076,30.38,-7.84,987.84
89858,29.40,-4.90,986.86
90581,29.40,-6.86,986.86
91365,28.42,-8.82,986.86
92155,26.46,-4.90,983.92
92871,25.48,-0.98,980.98
93661,27.44,-1.96,983.92
94379,27.44,-4.90,984.90
95167,30.38,-5.88,983.92
95882,33.32,-8.82,982.94
96672,33.32,-6.86,982.94
97455,32.34,-4.90,987.84
98177,25.48,-4.90,983.92
98957,31.36,-3.92,985.88
99681,30.38,-4.90,987.84
100464,25.48,-5.88,989.80
101186,29.40,-6.86,984.90
101968,29.40,-7.84,990.78
102756,29.40,-5.88,984.90
103474,33.32,-5.88,981.96
104262,31.36,-7.84,975.10
104997,31.36,-5.88,990.78
105773,27.44,-4.90,987.84
106492,28.42,-2.94,983.92
107251,28.42,-4.90,989.80
108060,35.28,-4.90,988.82
108760,33.32,-2.94,988.82
109550,29.40,-3.92,993.72
110333,33.32,-5.88,994.70
111057,34.30,-7.84,988.82
111836,33.32,-3.92,988.82
112558,34.30,-4.90,993.72
113342,31.36,-4.90,987.84
114065,34.30,-4.90,990.78
114845,26.46,-6.86,996.66
115571,29.40,-7.84,995.68
116354,28.42,-9.80,992.74
117142,32.34,-6.86,989.80
117855,30.38,-4.90,987.84
118644,33.32,-5.88,987.84
119361,32.34,-9.80,993.72
120152,33.32,-11.76,995.68
120933,35.28,-10.78,991.76
121655,29.40,-10.78,986.86
122438,32.34,-8.82,982.94
123159,34.30,-7.84,985.88
123938,31.36,-8.82,990.78
124661,30.38,-4.90,984.90
125444,29.40,-5.88,981.96
126234,30.38,-5.88,982.94
126949,33.32,-6.86,979.02
127738,33.32,-6.86,983.92
128455,31.36,-5.88,988.82
129244,30.38,-8.82,989.80
129956,28.42,-6.86,982.94
130747,32.34,-6.86,988.82
131533,33.32,-6.86,987.84
132254,30.38,-6.86,983.92
133041,32.34,-7.84,979.02
133758,28.42,-7.84,985.88
134545,29.40,-8.82,980.98
135266,33.32,-6.86,980.00
136051,32.34,-3.92,983.92
136769,32.34,-0.98,983.92
137555,30.38,-2.94,986.86
138343,29.40,-3.92,992.74
139063,26.46,-4.90,982.94
139849,28.42,-4.90,984.90
140570,28.42,-4.90,988.82
141358,35.28,-5.88,993.72
142075,33.32,-7.84,989.80
142860,30.38,-5.88,983.92
143598,27.44,-6.86,986.86
144389,27.44,-3.92,990.78
145110,29.40,-3.92,981.96
145894,33.32,-4.90,981.96
146681,35.28,-3.92,980.98
147402,30.38,-2.94,985.88
148186,31.36,-1.96,981.96
148905,31.36,-4.90,989.80
149690,30.38,-3.92,990.78
150411,30.38,-7.84,989.80
151198,34.30,-9.80,994.70
151987,32.34,-6.86,994.70
152703,33.32,-5.88,994.70
153491,33.32,-5.88,989.80
154208,28.42,-8.82,989.80
154998,29.40,-7.84,987.84
155712,32.34,-6.86,990.78
156504,31.36,-8.82,993.72
157221,31.36,-8.82,984.90
158009,28.42,-9.80,987.84
158788,33.32,-7.84,989.80
159513,32.34,-8.82,984.90
160296,36.26,-5.88,982.94
161019,38.22,-9.80,980.00
161800,33.32,-7.84,990.78
162522,35.28,-8.82,990.78
163305,29.40,-11.76,990.78
164094,33.32,-7.84,982.94
164809,32.34,-7.84,988.82
165599,31.36,-7.84,992.74
166316,33.32,-8.82,996.66
167107,35.28,-6.86,992.74
167823,32.34,-7.84,991.76
168612,32.34,-7.84,980.98
169395,39.20,-7.84,988.82
170119,35.28,-7.84,992.74
170901,30.38,-7.84,985.88
171623,30.38,-8.82,992.74
172407,30.38,-9.80,991.76
173129,32.34,-10.78,991.76
