=== Résumé acquisition ===
Fréquence théorique (Hz),1344.00
Écart moyen (µs),973.98
Écart min (µs),656
Écart max (µs),1062
Fréquence moyenne (Hz),1026.71
Fréquence min (Hz),941.62
Fréquence max (Hz),1524.39

t(us),X(mg),Y(mg),Z(mg)
3666,-11.76,21.56,977.06
4362,-11.76,23.52,983.92
5025,-8.82,20.58,979.02
5816,-9.80,24.50,982.94
6535,-6.86,26.46,978.04
7323,-6.86,27.44,977.06
8069,-8.82,24.50,981.96
8861,-7.84,24.50,981.96
9582,-3.92,24.50,980.00
10346,-3.92,25.48,979.02
11136,-4.90,23.52,980.00
11852,-1.96,26.46,981.96
12641,-6.86,23.52,985.88
13358,-5.88,21.56,979.02
14148,-9.80,21.56,981.96
14928,-0.98,21.56,985.88
15655,-1.96,23.52,985.88
16383,-7.84,25.48,989.80
17169,-11.76,23.52,986.86
17956,-10.78,25.48,980.98
18676,-4.90,26.46,979.02
19464,-2.94,25.48,976.08
20184,-0.98,23.52,981.96
20970,-4.90,27.44,982.94
21690,-1.96,26.46,981.96
22479,-3.92,25.48,980.00
23197,-6.86,27.44,980.00
23987,-8.82,24.50,982.94
24770,-7.84,29.40,987.84
25492,-5.88,30.38,988.82
26276,-0.98,29.40,986.86
26999,-2.94,29.40,986.86
27781,-6.86,29.40,981.96
28507,-3.92,28.42,981.96
29291,-2.94,29.40,984.90
30015,-2.94,29.40,984.90
30795,0.98,31.36,980.00
31586,-1.96,26.46,978.04
32304,-5.88,28.42,981.96
33093,-5.88,29.40,987.84
33806,-8.82,25.48,985.88
34595,-9.80,25.48,979.02
35379,-10.78,23.52,982.94
36102,-6.86,21.56,979.02
36883,-4.90,20.58,976.08
37605,-9.80,24.50,980.00
38389,-8.82,22.54,980.98
39113,-7.84,21.56,980.00
39892,-9.80,21.56,977.06
40683,-9.80,22.54,976.08
41400,-8.82,25.48,977.06
42192,-8.82,23.52,978.04
42906,-7.84,24.50,983.92
43696,-5.88,25.48,986.86
44413,-7.84,24.50,988.82
45203,-9.80,24.50,981.96
45989,-7.84,25.48,983.92
46707,-6.86,28.42,980.98
47491,-4.90,23.52,978.04
48213,-7.84,25.48,983.92
48999,-8.82,29.40,983.92
49719,-7.84,25.48,985.88
50505,-4.90,26.46,980.00
51293,-4.90,28.42,979.02
52013,-3.92,28.42,978.04
52799,-4.90,30.38,979.02
53520,-5.88,29.40,978.04
54308,-8.82,27.44,970.20
55027,-4.90,25.48,968.24
55811,-6.86,22.54,976.08
56529,-2.94,25.48,979.02
57317,-4.90,26.46,974.12
58103,-6.86,27.44,978.04
58823,-6.86,24.50,981.96
59610,-2.94,26.46,982.94
60331,-3.92,24.50,982.94
61118,-3.92,23.52,981.96
61837,-4.90,24.50,976.08
62624,-1.96,25.48,981.96
63346,-7.84,27.44,982.94
64132,-8.82,28.42,985.88
64919,-11.76,30.38,983.92
65638,-4.90,29.40,985.88
66427,-5.88,28.42,980.00
67147,-6.86,31.36,982.94
67934,-4.90,29.40,985.88
68676,-1.96,29.40,984.90
69449,-2.94,25.48,989.80
70248,-4.90,24.50,985.88
70958,-3.92,30.38,982.94
71683,-6.86,28.42,983.92
72468,-3.92,28.42,985.88
73257,-2.94,25.48,980.00
73972,-4.90,27.44,976.08
74762,-6.86,28.42,970.20
75479,-5.88,27.44,971.18
76269,-8.82,27.44,975.10
76989,-11.76,23.52,978.04
77773,-8.82,27.44,980.00
78558,-8.82,24.50,979.02
79280,-9.80,24.50,980.00
80065,-9.80,25.48,975.10
80784,-11.76,23.52,974.12
81570,-9.80,23.52,977.06
82291,-11.76,24.50,979.02
83077,-7.84,23.52,977.06
83794,-7.84,26.46,983.92
84582,-9.80,23.52,983.92
85369,-7.84,23.52,985.88
86087,-7.84,21.56,987.84
86871,-7.84,23.52,979.02
87593,-7.84,25.48,976.08
88380,-8.82,25.48,975.10
89099,-8.82,23.52,975.10
89883,-4.90,24.50,982.94
90670,-5.88,27.44,987.84
91391,-6.86,25.48,977.06
92177,-4.90,26.46,980.98
