=== Résumé acquisition ===
Fréquence théorique (Hz),1344.00
Écart moyen (µs),973.92
Écart min (µs),262
Écart max (µs),1414
Fréquence moyenne (Hz),1026.78
Fréquence min (Hz),707.21
Fréquence max (Hz),3816.79

t(us),X(mg),Y(mg),Z(mg)
3752,-6.86,25.48,983.92
4559,-6.86,22.54,983.92
5364,-8.82,23.52,978.04
6028,-6.86,23.52,984.90
6818,-5.88,24.50,989.80
7538,-5.88,25.48,985.88
8326,-11.76,25.48,988.82
9112,-11.76,26.46,989.80
9831,-8.82,25.48,981.96
10616,-6.86,26.46,984.90
11338,-5.88,27.44,991.76
12122,-3.92,26.46,986.86
12842,-4.90,25.48,985.88
13627,-6.86,24.50,990.78
14349,-4.90,24.50,987.84
15136,-6.86,24.50,985.88
15920,-8.82,25.48,981.96
16638,-6.86,24.50,979.02
17427,-7.84,27.44,975.10
18147,-12.74,26.46,988.82
18932,-4.90,28.42,984.90
19653,-5.88,33.32,987.84
20442,-4.90,31.36,990.78
21163,-7.84,33.32,982.94
21948,-4.90,30.38,982.94
22735,-9.80,31.36,985.88
23456,-7.84,30.38,984.90
24241,-7.84,28.42,992.74
24959,-6.86,25.48,992.74
25746,-3.92,26.46,989.80
26468,-5.88,25.48,984.90
27253,-7.84,28.42,980.00
28042,-4.90,27.44,980.98
28756,-5.88,32.34,982.94
29510,-8.82,35.28,984.90
30271,-4.90,32.34,980.00
31063,-3.92,30.38,983.92
31822,-3.92,29.40,988.82
32548,-7.84,28.42,988.82
33332,-3.92,31.36,983.92
34056,-6.86,30.38,980.98
34838,-7.84,28.42,978.04
35561,-9.80,31.36,981.96
36345,-8.82,30.38,992.74
37070,-5.88,29.40,991.76
37853,-5.88,28.42,992.74
38578,-5.88,28.42,985.88
39362,-8.82,28.42,982.94
40152,-7.84,24.50,980.00
40868,-5.88,28.42,977.06
41658,-3.92,28.42,975.10
42376,-7.84,30.38,978.04
43165,-7.84,27.44,982.94
43881,-11.76,28.42,989.80
44670,-6.86,29.40,981.96
45388,-2.94,25.48,984.90
46178,-5.88,25.48,979.02
46955,-7.84,28.42,979.02
47680,-8.82,29.40,976.08
48464,-8.82,30.38,980.98
49188,-9.80,28.42,980.98
49971,-8.82,29.40,983.92
50694,-6.86,26.46,979.02
51478,-6.86,29.40,988.82
52203,-6.86,29.40,988.82
52989,-7.84,27.44,980.00
53775,-6.86,27.44,985.88
54494,-6.86,27.44,977.06
55283,-5.88,26.46,979.02
56003,-2.94,27.44,982.94
56787,0.00,25.48,984.90
57506,-4.90,27.44,987.84
58294,-8.82,29.40,987.84
59014,-5.88,28.42,983.92
59799,-4.90,30.38,980.00
60587,-5.88,28.42,980.98
61309,-4.90,30.38,984.90
62094,-6.86,32.34,984.90
62815,-3.92,31.36,991.76
63602,-6.86,32.34,986.86
64324,-6.86,31.36,981.96
65109,-5.88,28.42,983.92
65893,-4.90,30.38,979.02
66613,-6.86,28.42,985.88
67401,-1.96,29.40,983.92
68122,0.98,30.38,975.10
68908,-3.92,27.44,979.02
69626,-3.92,26.46,984.90
70415,-3.92,28.42,988.82
71133,-8.82,30.38,983.92
71919,-5.88,29.40,989.80
72705,-3.92,27.44,988.82
73427,-0.98,29.40,990.78
74214,-1.96,27.44,988.82
74934,-5.88,27.44,987.84
75720,-4.90,30.38,983.92
76442,-3.92,28.42,982.94
77235,-6.86,30.38,984.90
77948,-4.90,33.32,981.96
78737,-4.90,30.38,984.90
79454,-6.86,30.38,989.80
80244,-1.96,27.44,981.96
81028,-6.86,25.48,979.02
81748,-8.82,26.46,980.00
82533,-11.76,29.40,978.04
83255,-8.82,29.40,982.94
84042,-6.86,28.42,987.84
84760,-7.84,29.40,985.88
85547,-6.86,28.42,986.86
86269,-7.84,27.44,988.82
87054,-8.82,27.44,987.84
87797,-8.82,27.44,987.84
88587,-5.88,26.46,990.78
89305,-4.90,28.42,990.78
90094,-2.94,28.42,991.76
90809,-5.88,26.46,986.86
91600,-5.88,24.50,980.00
92384,-3.92,25.48,979.02
93109,-4.90,25.48,978.04
93889,-5.88,25.48,978.04
94615,-5.88,28.42,977.06
95399,-9.80,28.42,980.98
96122,-8.82,29.40,984.90
96904,-7.84,26.46,985.88
97627,-3.92,27.44,983.92
98412,-5.88,27.44,983.92
99136,-4.90,24.50,981.96
99919,-3.92,29.40,980.00
100711,-9.80,29.40,980.00
101429,-8.82,28.42,976.08
102219,-6.86,31.36,976.08
102935,-7.84,30.38,981.96
103724,-2.94,29.40,979.02
104442,-4.90,27.44,977.06
105234,-4.90,30.38,985.88
105961,-7.84,31.36,983.92
106756,-8.82,28.42,983.92
107474,-6.86,29.40,982.94
108263,-3.92,28.42,981.96
108982,-6.86,28.42,982.94
109769,-7.84,29.40,988.82
110555,-3.92,27.44,984.90
111278,-7.84,30.38,980.00
112064,-7.84,34.30,977.06
112782,-7.84,31.36,977.06
113569,-6.86,28.42,980.00
114290,-2.94,29.40,980.98
115075,-3.92,29.40,977.06
115793,-0.98,29.40,980.98
116580,-3.92,29.40,980.00
117368,-4.90,25.48,982.94
118085,-2.94,27.44,976.08
118870,-4.90,26.46,974.12
119588,-5.88,27.44,978.04
120377,-4.90,29.40,985.88
121095,-4.90,29.40,982.94
121881,-10.78,27.44,980.98
122668,-6.86,28.42,980.00
123390,-5.88,28.42,978.04
124175,-4.90,26.46,976.08
124893,-2.94,25.48,976.08
125680,-3.92,22.54,987.84
126401,0.00,25.48,981.96
127188,-3.92,28.42,987.84
127908,-3.92,32.34,987.84
128693,-10.78,31.36,980.00
129482,-4.90,26.46,980.00
130200,-8.82,30.38,974.12
130989,-11.76,29.40,980.98
131705,-12.74,25.48,982.94
132561,-6.86,28.42,984.90
133253,-6.86,27.44,989.80
133967,-9.80,26.46,987.84
134739,-4.90,26.46,985.88
135531,-3.92,26.46,981.96
136249,-3.92,27.44,983.92
137039,-4.90,28.42,981.96
137755,-7.84,27.44,986.86
138547,-6.86,29.40,981.96
139264,-7.84,27.44,984.90
140054,-6.86,27.44,983.92
140835,-9.80,28.42,984.90
141557,-8.82,25.48,990.78
142342,-4.90,25.48,987.84
143064,-7.84,28.42,980.98
143846,-4.90,25.48,988.82
144569,-6.86,26.46,980.98
145354,-3.92,29.40,982.94
146079,-3.92,28.42,982.94
146859,-2.94,29.40,984.90
147649,-7.84,28.42,980.00
148366,-7.84,27.44,982.94
149157,-9.80,26.46,982.94
149874,-10.78,28.42,984.90
150664,-12.74,29.40,985.88
151382,-9.80,30.38,983.92
152173,-5.88,29.40,985.88
152953,-8.82,29.40,982.94
153676,-8.82,29.40,980.98
154461,-12.74,26.46,985.88
155183,-6.86,26.46,986.86
155966,-7.84,28.42,985.88
156688,-5.88,27.44,978.04
157473,-4.90,25.48,976.08
158196,-4.90,28.42,980.00
158984,-5.88,28.42,975.10
159769,-7.84,26.46,981.96
160489,-3.92,25.48,977.06
161278,-3.92,31.36,983.92
161997,-6.86,26.46,979.02
162782,-3.92,28.42,982.94
163502,-1.96,28.42,980.98
164290,-9.80,25.48,979.02
165008,-6.86,28.42,984.90
165792,-5.88,26.46,985.88
166580,-7.84,26.46,981.96
167301,-9.80,26.46,975.10
168086,-8.82,28.42,980.00
168803,-7.84,31.36,978.04
169591,-5.88,30.38,977.06
170312,-2.94,28.42,980.98
171098,-4.90,31.36,984.90
171882,-2.94,29.40,984.90
172602,-0.98,27.44,982.94
173390,0.98,26.46,979.02
174111,-0.98,25.48,980.00
174897,-0.98,22.54,989.80
175616,-1.96,27.44,984.90
176405,-1.96,26.46,984.90
177126,-4.90,25.48,982.94
177913,-4.90,27.44,982.94
178634,-6.86,29.40,982.94
179422,-8.82,27.44,976.08
180210,-6.86,27.44,985.88
180930,-11.76,27.44,986.86
181718,-7.84,29.40,980.00
182439,-7.84,28.42,980.00
183223,-11.76,28.42,987.84
183942,-9.80,29.40,982.94
184727,-9.80,30.38,987.84
185449,-5.88,27.44,985.88
186234,-7.84,24.50,986.86
187025,-7.84,28.42,986.86
187741,-5.88,28.42,985.88
188531,-5.88,29.40,983.92
189249,-5.88,30.38,985.88
190039,-3.92,27.44,980.98
190755,-6.86,29.40,981.96
191547,-4.90,28.42,986.86
192264,-3.92,28.42,980.98
193054,-12.74,30.38,986.86
193835,-8.82,30.38,980.00
194557,-6.86,28.42,977.06
195342,-3.92,30.38,982.94
196064,-5.88,29.40,980.00
196846,-7.84,28.42,980.00
197569,-3.92,29.40,979.02
198353,-2.94,27.44,980.00
199079,-6.86,28.42,983.92
199859,-6.86,27.44,982.94
200582,-6.86,30.38,983.92
201367,-5.88,27.44,985.88
202157,-4.90,23.52,982.94
202874,-1.96,28.42,979.02
203664,-5.88,28.42,981.96
204382,-1.96,26.46,981.96
205173,-8.82,29.40,978.04
205888,-5.88,28.42,974.12
206680,-6.86,27.44,977.06
207397,-2.94,28.42,976.08
208189,-1.96,27.44,978.04
208971,-4.90,29.40,980.00
209694,-1.96,26.46,985.88
210478,-5.88,25.48,980.98
211203,-4.90,29.40,979.02
211989,-8.82,28.42,982.94
212709,-7.84,28.42,982.94
213494,-6.86,26.46,983.92
214216,-3.92,27.44,985.88
215003,-3.92,29.40,980.98
215787,-2.94,29.40,980.98
216506,-3.92,27.44,977.06
217294,-7.84,29.40,979.02
218014,-5.88,29.40,985.88
218799,-7.84,27.44,984.90
219520,-5.88,26.46,977.06
220309,-3.92,25.48,980.98
221027,-5.88,27.44,984.90
221815,-5.88,26.46,985.88
222600,-6.86,29.40,982.94
223322,-4.90,28.42,980.98
224109,-2.94,28.42,982.94
224827,-4.90,33.32,985.88
225613,-9.80,33.32,984.90
